1.png,77.0,246.0,81.0,219.0
2.png,29.0,77.0,23.0,32.0
3.png,5.0,17.0,8.0,15.0
4.png,13.0,57.0,15.0,34.0
5.png,7.0,52.0,21.0,46.0
6.png,6.0,28.0,10.0,21.0
7.png,10.0,35.0,13.0,32.0
8.png,4.0,17.0,7.0,15.0
9.png,4.0,19.0,14.0,24.0
10.png,6.0,25.0,9.0,27.0
11.png,5.0,22.0,12.0,26.0
12.png,16.0,67.0,23.0,55.0
13.png,12.0,44.0,17.0,33.0
14.png,2.0,35.0,21.0,42.0
15.png,8.0,22.0,14.0,20.0
16.png,3.0,20.0,7.0,19.0
17.png,4.0,23.0,14.0,22.0
18.png,12.0,52.0,28.0,41.0
19.png,1.0,19.0,7.0,19.0
20.png,2.0,20.0,11.0,24.0
21.png,6.0,72.0,52.0,85.0
22.png,4.0,24.0,10.0,16.0
23.png,5.0,29.0,21.0,32.0
24.png,59.0,233.0,19.0,34.0
25.png,11.0,60.0,24.0,50.0
26.png,7.0,34.0,12.0,32.0
27.png,11.0,46.0,26.0,45.0
28.png,8.0,31.0,13.0,33.0
29.png,14.0,43.0,10.0,18.0
30.png,1.0,16.0,7.0,25.0
31.png,1.0,14.0,10.0,19.0
32.png,16.0,48.0,17.0,33.0
33.png,5.0,27.0,16.0,33.0
34.png,13.0,41.0,16.0,32.0
35.png,5.0,25.0,7.0,14.0
36.png,9.0,50.0,23.0,47.0
37.png,4.0,24.0,6.0,20.0
38.png,28.0,87.0,26.0,57.0
39.png,19.0,62.0,13.0,40.0
40.png,9.0,61.0,28.0,61.0
41.png,10.0,38.0,11.0,35.0
42.png,27.0,110.0,25.0,51.0
43.png,24.0,87.0,31.0,51.0
44.png,3.0,19.0,13.0,26.0
45.png,3.0,35.0,8.0,31.0
46.png,87.0,136.0,49.0,104.0
47.png,2.0,14.0,6.0,15.0
48.png,20.0,74.0,28.0,50.0
49.png,18.0,65.0,36.0,45.0
50.png,27.0,58.0,11.0,26.0
51.png,7.0,47.0,16.0,45.0
52.png,12.0,45.0,23.0,38.0
53.png,34.0,160.0,59.0,84.0
54.png,10.0,36.0,18.0,45.0
55.png,27.0,116.0,15.0,35.0
56.png,4.0,22.0,9.0,20.0
57.png,38.0,63.0,16.0,25.0
58.png,6.0,45.0,19.0,46.0
59.png,3.0,35.0,19.0,42.0
60.png,1.0,16.0,9.0,20.0
61.png,6.0,33.0,9.0,19.0
62.png,6.0,45.0,24.0,46.0
63.png,23.0,96.0,40.0,63.0
64.png,4.0,26.0,8.0,26.0
65.png,6.0,25.0,11.0,21.0
66.png,6.0,38.0,11.0,30.0
67.png,5.0,48.0,12.0,47.0
68.png,19.0,71.0,14.0,35.0
69.png,12.0,54.0,15.0,46.0
70.png,5.0,20.0,11.0,16.0
71.png,4.0,24.0,11.0,22.0
72.png,6.0,26.0,7.0,17.0
73.png,3.0,18.0,5.0,14.0
74.png,4.0,28.0,10.0,26.0
75.png,10.0,34.0,7.0,29.0
76.png,2.0,22.0,6.0,18.0
77.png,5.0,53.0,30.0,60.0
78.png,14.0,78.0,9.0,22.0
79.png,41.0,40.0,22.0,51.0
80.png,11.0,38.0,12.0,19.0
81.png,8.0,49.0,14.0,31.0
82.png,8.0,35.0,19.0,30.0
83.png,6.0,36.0,16.0,29.0
84.png,6.0,34.0,20.0,32.0
85.png,7.0,17.0,6.0,15.0
86.png,4.0,26.0,7.0,20.0
87.png,16.0,67.0,14.0,35.0
88.png,13.0,47.0,27.0,36.0
89.png,23.0,85.0,26.0,64.0
90.png,6.0,37.0,6.0,30.0
91.png,18.0,49.0,9.0,26.0
92.png,6.0,35.0,19.0,35.0
93.png,11.0,40.0,12.0,32.0
94.png,18.0,54.0,12.0,34.0
95.png,58.0,127.0,10.0,26.0
96.png,6.0,33.0,23.0,39.0
97.png,8.0,34.0,16.0,32.0
98.png,7.0,50.0,15.0,37.0
99.png,4.0,30.0,17.0,29.0
100.png,1.0,18.0,5.0,22.0
101.png,7.0,27.0,13.0,27.0
102.png,14.0,58.0,18.0,51.0
103.png,2.0,54.0,20.0,28.0
104.png,18.0,67.0,29.0,69.0
105.png,13.0,83.0,44.0,100.0
106.png,12.0,37.0,10.0,17.0
107.png,16.0,49.0,14.0,29.0
108.png,3.0,28.0,14.0,27.0
109.png,11.0,38.0,18.0,28.0
110.png,1.0,16.0,10.0,18.0
111.png,8.0,23.0,11.0,20.0
112.png,2.0,31.0,14.0,37.0
113.png,1.0,19.0,8.0,21.0
114.png,6.0,29.0,7.0,28.0
115.png,1.0,26.0,9.0,26.0
116.png,12.0,27.0,8.0,14.0
117.png,8.0,145.0,79.0,145.0
118.png,2.0,13.0,9.0,15.0
119.png,55.0,91.0,27.0,48.0
120.png,20.0,65.0,24.0,40.0
121.png,8.0,32.0,6.0,21.0
122.png,2.0,21.0,4.0,23.0
123.png,5.0,25.0,10.0,22.0
124.png,1.0,19.0,10.0,23.0
125.png,3.0,18.0,6.0,17.0
126.png,14.0,56.0,15.0,52.0
127.png,15.0,32.0,16.0,36.0
128.png,16.0,56.0,9.0,45.0
129.png,5.0,21.0,8.0,17.0
130.png,4.0,26.0,17.0,21.0
131.png,6.0,24.0,8.0,18.0
132.png,20.0,78.0,43.0,67.0
133.png,13.0,91.0,43.0,99.0
134.png,2.0,16.0,9.0,14.0
135.png,2.0,26.0,13.0,28.0
136.png,10.0,52.0,15.0,37.0
137.png,10.0,50.0,14.0,43.0
138.png,19.0,60.0,17.0,37.0
139.png,1.0,21.0,13.0,23.0
140.png,1.0,18.0,12.0,18.0
141.png,4.0,25.0,9.0,24.0
142.png,7.0,92.0,65.0,87.0
143.png,13.0,51.0,17.0,24.0
144.png,3.0,27.0,8.0,28.0
145.png,18.0,93.0,38.0,93.0
146.png,4.0,23.0,7.0,13.0
147.png,3.0,28.0,6.0,24.0
148.png,43.0,140.0,16.0,30.0
149.png,3.0,19.0,8.0,17.0
150.png,36.0,136.0,19.0,27.0
151.png,4.0,25.0,14.0,21.0
152.png,8.0,52.0,15.0,37.0
153.png,7.0,30.0,6.0,28.0
154.png,3.0,18.0,14.0,20.0
155.png,13.0,68.0,22.0,44.0
156.png,9.0,35.0,16.0,28.0
157.png,7.0,37.0,26.0,37.0
158.png,34.0,113.0,53.0,81.0
159.png,11.0,28.0,23.0,29.0
160.png,9.0,49.0,8.0,27.0
161.png,26.0,91.0,33.0,63.0
162.png,1.0,32.0,21.0,36.0
163.png,49.0,148.0,25.0,36.0
164.png,10.0,57.0,24.0,57.0
165.png,12.0,45.0,14.0,40.0
166.png,18.0,40.0,24.0,27.0
167.png,8.0,30.0,5.0,15.0
168.png,8.0,30.0,7.0,24.0
169.png,3.0,26.0,21.0,33.0
170.png,4.0,30.0,12.0,28.0
171.png,16.0,53.0,32.0,40.0
172.png,6.0,31.0,9.0,25.0
173.png,5.0,17.0,6.0,16.0
174.png,6.0,31.0,12.0,25.0
175.png,8.0,28.0,11.0,28.0
176.png,15.0,82.0,33.0,50.0
177.png,45.0,125.0,22.0,50.0
178.png,5.0,31.0,11.0,26.0
179.png,4.0,33.0,9.0,28.0
180.png,5.0,16.0,6.0,17.0
181.png,6.0,45.0,17.0,39.0
182.png,1.0,29.0,28.0,41.0
183.png,2.0,22.0,12.0,23.0
184.png,28.0,53.0,24.0,33.0
185.png,2.0,10.0,5.0,11.0
186.png,8.0,34.0,13.0,49.0
187.png,2.0,20.0,12.0,25.0
188.png,11.0,38.0,16.0,32.0
189.png,4.0,35.0,20.0,31.0
190.png,3.0,15.0,6.0,12.0
191.png,7.0,26.0,8.0,20.0
192.png,2.0,22.0,12.0,22.0
193.png,24.0,123.0,23.0,85.0
194.png,14.0,47.0,7.0,19.0
195.png,3.0,15.0,5.0,13.0
196.png,10.0,45.0,25.0,51.0
197.png,4.0,23.0,8.0,23.0
198.png,8.0,29.0,22.0,32.0
199.png,41.0,145.0,77.0,149.0
200.png,4.0,97.0,20.0,32.0
201.png,3.0,31.0,21.0,38.0
202.png,70.0,148.0,18.0,35.0
203.png,30.0,69.0,20.0,39.0
204.png,4.0,32.0,12.0,22.0
205.png,7.0,28.0,12.0,24.0
206.png,96.0,223.0,15.0,30.0
207.png,35.0,118.0,40.0,79.0
208.png,3.0,24.0,10.0,18.0
209.png,9.0,42.0,9.0,35.0
210.png,8.0,46.0,20.0,39.0
211.png,2.0,19.0,10.0,18.0
212.png,13.0,43.0,11.0,29.0
213.png,4.0,59.0,19.0,52.0
214.png,3.0,32.0,13.0,24.0
215.png,7.0,43.0,23.0,31.0
216.png,13.0,63.0,27.0,35.0
217.png,12.0,50.0,23.0,37.0
218.png,4.0,21.0,6.0,19.0
219.png,52.0,82.0,48.0,66.0
220.png,4.0,47.0,27.0,55.0
221.png,4.0,25.0,8.0,25.0
222.png,4.0,23.0,9.0,19.0
223.png,4.0,23.0,9.0,20.0
224.png,14.0,48.0,18.0,41.0
225.png,10.0,41.0,10.0,22.0
226.png,6.0,23.0,5.0,22.0
227.png,5.0,22.0,5.0,16.0
228.png,13.0,59.0,16.0,32.0
229.png,5.0,19.0,9.0,15.0
230.png,5.0,44.0,23.0,42.0
231.png,12.0,38.0,6.0,27.0
232.png,8.0,30.0,6.0,24.0
233.png,11.0,35.0,18.0,31.0
234.png,12.0,44.0,11.0,20.0
235.png,9.0,39.0,16.0,33.0
236.png,19.0,63.0,13.0,40.0
237.png,50.0,142.0,12.0,26.0
238.png,8.0,30.0,17.0,22.0
239.png,2.0,22.0,8.0,20.0
240.png,41.0,127.0,20.0,39.0
241.png,3.0,15.0,4.0,14.0
242.png,6.0,23.0,14.0,23.0
243.png,7.0,28.0,6.0,13.0
244.png,11.0,34.0,6.0,27.0
245.png,8.0,29.0,14.0,22.0
246.png,16.0,63.0,23.0,40.0
247.png,1.0,13.0,11.0,16.0
248.png,4.0,23.0,16.0,22.0
249.png,5.0,30.0,10.0,27.0
250.png,3.0,24.0,8.0,20.0
251.png,7.0,70.0,37.0,82.0
252.png,26.0,-1.0,16.0,34.0
253.png,12.0,35.0,13.0,33.0
254.png,5.0,30.0,18.0,32.0
255.png,8.0,55.0,34.0,55.0
256.png,2.0,31.0,20.0,33.0
257.png,30.0,80.0,17.0,41.0
258.png,1.0,45.0,34.0,60.0
259.png,14.0,51.0,19.0,30.0
260.png,2.0,2.0,13.0,20.0
261.png,1.0,15.0,4.0,16.0
262.png,23.0,61.0,18.0,44.0
263.png,14.0,46.0,15.0,38.0
264.png,5.0,27.0,16.0,28.0
265.png,10.0,46.0,25.0,45.0
266.png,27.0,125.0,54.0,89.0
267.png,9.0,3.0,20.0,54.0
268.png,12.0,34.0,8.0,24.0
269.png,7.0,33.0,16.0,32.0
270.png,3.0,25.0,12.0,30.0
271.png,1.0,18.0,8.0,24.0
272.png,7.0,44.0,11.0,35.0
273.png,8.0,31.0,18.0,27.0
274.png,3.0,28.0,9.0,28.0
275.png,4.0,27.0,16.0,22.0
276.png,11.0,26.0,9.0,17.0
277.png,6.0,29.0,6.0,17.0
278.png,24.0,84.0,14.0,23.0
